Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest
JavaRTS,core,AssetManager,init,50,8,0,79,0
JavaRTS,core,AssetManager,prepareAssetForNewGame,72,7,0,149,0
JavaRTS,core,AssetManager,destoryAsset,50,1,0,277,0
JavaRTS,core,AssetManager,addContructionYard,8,3,1,344,0
JavaRTS,core,AssetManager,addPowerPlant,8,3,1,353,0
JavaRTS,core,AssetManager,addRefinery,8,3,1,362,0
JavaRTS,core,AssetManager,addFactory,8,3,1,371,0
JavaRTS,core,AssetManager,addDrone,8,3,1,380,0
JavaRTS,core,AssetManager,addCommunicationCenter,8,3,1,389,0
JavaRTS,core,AssetManager,addTechCenter,8,3,1,398,0
JavaRTS,core,AssetManager,addHarvester,8,3,1,407,0
JavaRTS,core,AssetManager,addLightTank,8,3,1,416,0
JavaRTS,core,AssetManager,addHeavyTank,8,3,1,425,0
JavaRTS,core,AssetManager,addStealthTank,8,3,1,434,0
JavaRTS,core,AssetManager,addRocketTank,8,3,1,443,0
JavaRTS,core,AssetManager,addConstructionVehicle,8,3,1,452,0
JavaRTS,core,AssetManager,addGunTurret,8,3,1,461,0
JavaRTS,core,AssetManager,addMissileTurret,8,3,1,470,0
JavaRTS,core,AssetManager,destoryAllUnit,32,11,1,479,0
JavaRTS,core,AssetManager,updateAndDraw,202,95,0,516,0
JavaRTS,core,AssetManager,swapResources,30,1,0,838,0
JavaRTS,core,AssetManager,spawnBullet,6,3,5,876,0
JavaRTS,core,AssetManager,spawnRocket,6,3,5,885,0
JavaRTS,core,AssetManager,removeObject,93,31,1,894,0
JavaRTS,core,baseInfo,baseInfo,3,1,0,23,0
JavaRTS,core,baseInfo,update,48,9,0,28,0
JavaRTS,core,baseInfo,reCalculatePower,4,1,0,92,0
JavaRTS,core,camera,camera,11,1,3,29,0
JavaRTS,core,camera,update,67,14,0,44,0
JavaRTS,core,DaemonThread,run,7,1,0,4,0
JavaRTS,core,gameData,makeData,74,15,0,25,0
JavaRTS,core,gameData,getRandom,5,2,0,168,0
JavaRTS,core,gameData,destory,6,1,0,179,0
JavaRTS,core,gameData,loadTexture,19,2,5,186,0
JavaRTS,core,geometry,solveLinerEquation2D,20,2,6,17,0
JavaRTS,core,geometry,findAngle,3,1,4,42,0
JavaRTS,core,geometry,findAngleDelta,23,8,3,48,0
JavaRTS,core,geometry,drawLine,80,15,4,83,0
JavaRTS,core,grid,grid,10,2,1,11,0
JavaRTS,core,grid,update,13,3,0,24,0
JavaRTS,core,grid,reset,9,4,0,39,0
JavaRTS,core,grid,draw,12,4,0,56,0
JavaRTS,core,highscoreManager,highscoreManager,4,1,0,25,0
JavaRTS,core,highscoreManager,run,143,23,0,31,0
JavaRTS,core,highscoreManager,hasDuplicateName,8,3,4,199,0
JavaRTS,core,highscoreManager,secondsToString,7,1,1,209,0
JavaRTS,core,highscoreManager,placeZeroIfNeede,3,1,1,218,0
JavaRTS,core,mainThread,mainThread,55,3,0,81,0
JavaRTS,core,mainThread,actionPerformed,87,16,1,172,0
JavaRTS,core,mainThread,paintComponent,3,1,1,338,0
JavaRTS,core,mainThread,clearDepthBuffer,4,2,0,355,0
JavaRTS,core,mainThread,keyPressed,7,5,1,363,0
JavaRTS,core,mainThread,keyReleased,7,5,1,378,0
JavaRTS,core,mainThread,keyTyped,2,1,1,393,0
JavaRTS,core,mainThread,mouseDragged,8,2,1,399,0
JavaRTS,core,mainThread,mouseMoved,8,2,1,409,0
JavaRTS,core,mainThread,mouseClicked,2,1,1,419,0
JavaRTS,core,mainThread,mouseEntered,4,1,1,423,0
JavaRTS,core,mainThread,mouseExited,5,2,1,430,0
JavaRTS,core,mainThread,mousePressed,8,3,1,442,0
JavaRTS,core,mainThread,mouseReleased,8,3,1,456,0
JavaRTS,core,mainThread,loadTexture,83,2,0,469,0
JavaRTS,core,mainThread,waitForPostProcessingThread,12,2,0,557,0
JavaRTS,core,mainThread,swapResources,24,2,0,574,0
JavaRTS,core,mainThread,regulateFramerate,39,11,0,606,0
JavaRTS,core,mainThread,secondsToString,7,1,1,671,0
JavaRTS,core,mainThread,placeZeroIfNeede,3,1,1,680,0
JavaRTS,core,mainThread,focusGained,3,1,1,684,0
JavaRTS,core,mainThread,focusLost,3,1,1,693,0
JavaRTS,core,PathFinder,createHeuristicMap,79,20,7,16,0
JavaRTS,core,playerCommander,init,13,1,0,63,0
JavaRTS,core,playerCommander,update,362,103,0,83,0
JavaRTS,core,playerCommander,cursorIsInMiniMap,3,1,0,560,0
JavaRTS,core,playerCommander,cursorIsInSideBar,3,1,0,564,0
JavaRTS,core,playerCommander,removeDestoryedObjectFromSelection,8,3,1,570,0
JavaRTS,core,playerCommander,holdAllSelectedUnit,9,4,0,580,0
JavaRTS,core,playerCommander,moveSelectedUnit,54,13,2,590,0
JavaRTS,core,playerCommander,attackMoveSelectUnit,48,10,2,661,0
JavaRTS,core,playerCommander,addMouseHoverUnitToDisplayInfo,38,9,2,723,0
JavaRTS,core,playerCommander,selectUnit,36,11,2,768,0
JavaRTS,core,playerCommander,selectMultipleUnits,14,5,1,820,0
JavaRTS,core,playerCommander,addToSelection,12,5,1,836,0
JavaRTS,core,playerCommander,deSelect,10,3,1,856,0
JavaRTS,core,playerCommander,deSelectAll,9,3,0,867,0
JavaRTS,core,playerCommander,selectGroup,5,2,1,880,0
JavaRTS,core,playerCommander,maneuverUnit,34,12,0,886,0
JavaRTS,core,playerCommander,attackUnit,21,7,1,936,0
JavaRTS,core,playerCommander,harvestMine,13,4,1,966,0
JavaRTS,core,playerCommander,returnToRefinery,13,4,1,981,0
JavaRTS,core,playerCommander,removeFromOtherGroup,12,5,2,996,0
JavaRTS,core,polygon3D,polygon3D,83,15,8,106,0
JavaRTS,core,polygon3D,update,53,9,0,221,0
JavaRTS,core,polygon3D,update_visionPolygon,19,3,0,308,0
JavaRTS,core,polygon3D,update_lightspace,33,6,0,352,0
JavaRTS,core,polygon3D,update_lightspace_withoutDrawing,23,3,0,408,0
JavaRTS,core,polygon3D,findClipping,22,5,0,452,0
JavaRTS,core,polygon3D,approximatePoint,7,1,3,479,0
JavaRTS,core,polygon3D,findDiffuse,6,2,0,490,0
JavaRTS,core,polygon3D,createShadeSpan,15,3,3,504,0
JavaRTS,core,polygon3D,findNormal,8,1,0,527,0
JavaRTS,core,polygon3D,draw,6,2,0,537,0
JavaRTS,core,postProcessingThread,init,49,4,0,130,0
JavaRTS,core,postProcessingThread,reset,3,1,0,208,0
JavaRTS,core,postProcessingThread,run,25,4,0,214,0
JavaRTS,core,postProcessingThread,isWorking,4,2,0,251,0
JavaRTS,core,postProcessingThread,doPostProcesssing,317,95,0,261,0
JavaRTS,core,postProcessingThread,rasterize,6,1,1,767,0
JavaRTS,core,postProcessingThread,scanPolygon,68,16,0,778,0
JavaRTS,core,postProcessingThread,blurShadow,69,29,0,876,0
JavaRTS,core,postProcessingThread,blendShadow,15,6,0,973,0
JavaRTS,core,postProcessingThread,prepareResources,49,2,0,997,0
JavaRTS,core,rasterizer,init,17,2,0,114,0
JavaRTS,core,rasterizer,rasterize,73,14,1,136,0
JavaRTS,core,rasterizer,findVectorOUV,25,1,0,208,0
JavaRTS,core,rasterizer,scanPolygon,46,11,0,250,0
JavaRTS,core,rasterizer,scanPolygon_Gouraud,60,11,0,320,0
JavaRTS,core,rasterizer,renderShadowRemover,58,12,1,407,0
JavaRTS,core,rasterizer,renderShadow,68,13,1,494,0
JavaRTS,core,rasterizer,renderCloakedShadow,71,14,1,589,0
JavaRTS,core,rasterizer,renderBasicPolygon,73,9,0,688,0
JavaRTS,core,rasterizer,renderUnderGroundPolygon,148,15,0,791,0
JavaRTS,core,rasterizer,renderShadowedPolygon,145,14,0,993,0
JavaRTS,core,rasterizer,renderShadowedPolygon_Gouraud,154,15,0,1187,0
JavaRTS,core,rasterizer,renderShadowedPolygon_smooth,154,16,0,1392,0
JavaRTS,core,rasterizer,renderTerrainPolygon,81,7,0,1599,0
JavaRTS,core,rasterizer,renderRoadSidePolygon,86,8,0,1712,0
JavaRTS,core,rasterizer,renderLakeBottomPolygon,79,6,0,1831,0
JavaRTS,core,rasterizer,renderWaterPolygon,40,5,0,1940,0
JavaRTS,core,rasterizer,renderSoildPolygon,22,5,0,1994,0
JavaRTS,core,rasterizer,renderDeployGridPolygon,16,4,0,2037,0
JavaRTS,core,rasterizer,renderZbufferRemoverPolygon,19,5,0,2065,0
JavaRTS,core,rasterizer,renderCloakedPolygon,159,18,0,2093,0
JavaRTS,core,rasterizer,calculateDepthRangeAtGround,14,1,0,2311,0
JavaRTS,core,Rect,Rect,8,1,4,12,0
JavaRTS,core,Rect,setOrigin,6,1,2,21,0
JavaRTS,core,Rect,intersect,3,1,1,28,0
JavaRTS,core,Rect,contains,3,1,2,32,0
JavaRTS,core,Rect,expand,8,1,1,36,0
JavaRTS,core,Rect,shrink,8,1,1,45,0
JavaRTS,core,Rect,toString,3,1,0,54,0
JavaRTS,core,sideBarManager,sideBarManager,9,2,1,34,0
JavaRTS,core,sideBarManager,update,556,177,0,46,0
JavaRTS,core,sideBarManager,swapResources,6,1,0,885,0
JavaRTS,core,sunLight,init,15,1,0,22,0
JavaRTS,core,sunLight,update,8,2,0,43,0
JavaRTS,core,terrain,terrain,136,1,0,78,0
JavaRTS,core,terrain,createStrightRoadSection,51,5,1,265,0
JavaRTS,core,terrain,createCurvedRoadSection,53,5,3,331,0
JavaRTS,core,terrain,createLake,188,20,9,398,0
JavaRTS,core,terrain,update,113,19,0,703,0
JavaRTS,core,terrain,draw,32,16,0,849,0
JavaRTS,core,texture,texture,116,28,4,52,0
JavaRTS,core,texture,texture,92,18,5,223,0
