Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
JavaRTS,core,AssetManager,51,51,24,24,714,205,0,0,0.0,4,28,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\AssetManager.java,9
JavaRTS,core,baseInfo,28,28,3,3,72,11,0,0,0.6666666666666666,20,0,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\baseInfo.java,5
JavaRTS,core,camera,22,22,2,2,90,15,0,0,0.0,31,3,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\camera.java,6
JavaRTS,core,DaemonThread,0,0,1,1,9,1,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\DaemonThread.java,3
JavaRTS,core,gameData,10,10,4,4,115,20,0,0,0.0,31,1,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\gameData.java,10
JavaRTS,core,geometry,5,5,4,4,132,26,0,0,1.0,13,3,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\geometry.java,4
JavaRTS,core,grid,4,4,4,4,49,13,0,0,0.0,1,1,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\grid.java,5
JavaRTS,core,highscoreManager,13,13,5,5,180,29,0,0,0.0,1,1,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\highscoreManager.java,5
JavaRTS,core,mainThread,71,71,22,22,439,68,0,0,0.3181818181818182,61,14,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\mainThread.java,16
JavaRTS,core,PathFinder,1,1,1,1,82,20,0,0,0.0,2,1,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\PathFinder.java,13
JavaRTS,core,playerCommander,44,44,20,20,750,206,0,0,0.0,3,9,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\playerCommander.java,11
JavaRTS,core,polygon3D,49,49,11,11,309,50,0,0,0.0,27,8,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\polygon3D.java,5
JavaRTS,core,postProcessingThread,116,115,10,10,671,160,0,0,0.0,14,30,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\postProcessingThread.java,15
JavaRTS,core,rasterizer,115,115,22,22,1649,206,0,0,0.0,3,7,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\rasterizer.java,22
JavaRTS,core,Rect,7,7,7,7,43,7,0,0,0.0,20,1,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\Rect.java,6
JavaRTS,core,sideBarManager,18,18,3,3,591,180,0,0,0.0,1,11,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\sideBarManager.java,7
JavaRTS,core,sunLight,13,13,2,2,34,3,0,0,0.0,3,3,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\sunLight.java,4
JavaRTS,core,terrain,61,61,6,6,626,66,0,0,0.0,1,8,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\terrain.java,6
JavaRTS,core,texture,19,19,4,4,251,49,0,0,0.0,5,0,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\texture.java,7
JavaRTS,core,Ticker,4,0,10,9,60,13,0,0,0.0,1,0,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\Ticker.java,7
JavaRTS,core,Turn2DTo3DFactory,10,10,2,2,50,2,0,0,0.0,2,4,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\Turn2DTo3DFactory.java,5
JavaRTS,core,vector,18,18,20,20,114,20,0,0,0.0,47,2,C:\Users\AVuser\Desktop\asdc\JavaRTS\core\vector.java,3
JavaRTS,enemyAI,baseExpensionAI,16,16,7,7,342,108,0,0,0.0,1,9,C:\Users\AVuser\Desktop\asdc\JavaRTS\enemyAI\baseExpensionAI.java,9
JavaRTS,enemyAI,buildingManagerAI,8,8,11,11,676,212,0,0,0.0,1,13,C:\Users\AVuser\Desktop\asdc\JavaRTS\enemyAI\buildingManagerAI.java,14
JavaRTS,enemyAI,combatManagerAI,39,38,6,6,522,134,0,0,0.0,1,6,C:\Users\AVuser\Desktop\asdc\JavaRTS\enemyAI\combatManagerAI.java,12
JavaRTS,enemyAI,defenseManagerAI,20,20,10,10,511,147,0,0,0.0,1,9,C:\Users\AVuser\Desktop\asdc\JavaRTS\enemyAI\defenseManagerAI.java,15
JavaRTS,enemyAI,economyManagerAI,6,6,2,2,115,40,0,0,0.0,1,5,C:\Users\AVuser\Desktop\asdc\JavaRTS\enemyAI\economyManagerAI.java,11
JavaRTS,enemyAI,enemyCommander,15,15,4,4,86,21,0,0,0.0,16,12,C:\Users\AVuser\Desktop\asdc\JavaRTS\enemyAI\enemyCommander.java,6
JavaRTS,enemyAI,harassmentAI,17,17,4,4,273,72,0,0,0.0,1,7,C:\Users\AVuser\Desktop\asdc\JavaRTS\enemyAI\harassmentAI.java,15
JavaRTS,enemyAI,mapAwarenessAI,67,67,9,9,614,178,0,0,0.0,1,6,C:\Users\AVuser\Desktop\asdc\JavaRTS\enemyAI\mapAwarenessAI.java,17
JavaRTS,enemyAI,microManagementAI,11,11,3,3,159,33,0,0,0.6666666666666666,1,5,C:\Users\AVuser\Desktop\asdc\JavaRTS\enemyAI\microManagementAI.java,11
JavaRTS,enemyAI,scoutingManagerAI,14,14,8,8,238,67,0,0,0.0,1,5,C:\Users\AVuser\Desktop\asdc\JavaRTS\enemyAI\scoutingManagerAI.java,10
JavaRTS,enemyAI,unitProductionAI,27,27,8,8,395,104,0,0,0.0,1,12,C:\Users\AVuser\Desktop\asdc\JavaRTS\enemyAI\unitProductionAI.java,12
JavaRTS,entity,communicationCenter,47,46,13,13,845,112,0,1,0.15384615384615385,8,11,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\communicationCenter.java,10
JavaRTS,entity,constructionVehicle,56,56,16,16,1176,204,0,1,0.125,5,10,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\constructionVehicle.java,9
JavaRTS,entity,constructionYard,55,52,21,21,1257,173,0,1,0.09523809523809523,7,17,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\constructionYard.java,11
JavaRTS,entity,drone,31,31,7,7,393,76,0,1,0.0,3,8,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\drone.java,9
JavaRTS,entity,factory,82,77,23,23,1528,257,0,1,0.08695652173913043,9,20,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\factory.java,9
JavaRTS,entity,goldMine,28,27,5,4,255,32,0,1,0.4,10,6,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\goldMine.java,7
JavaRTS,entity,gunTurret,40,40,9,9,525,83,0,1,0.3333333333333333,5,10,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\gunTurret.java,9
JavaRTS,entity,harvester,66,66,21,21,1271,239,0,1,0.09523809523809523,6,12,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\harvester.java,8
JavaRTS,entity,heavyTank,29,29,12,12,774,148,0,1,0.0,4,9,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\heavyTank.java,10
JavaRTS,entity,lightPole,16,16,6,5,178,21,0,1,0.3333333333333333,1,5,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\lightPole.java,8
JavaRTS,entity,lightTank,36,36,12,12,710,138,0,1,0.0,5,9,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\lightTank.java,10
JavaRTS,entity,missileTurret,52,52,9,9,613,99,0,1,0.3333333333333333,6,10,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\missileTurret.java,10
JavaRTS,entity,palmTree,16,16,6,5,206,19,0,1,0.3333333333333333,2,6,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\palmTree.java,8
JavaRTS,entity,powerPlant,27,26,5,5,545,62,0,1,0.4,4,8,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\powerPlant.java,9
JavaRTS,entity,refinery,37,36,8,8,737,71,0,1,0.25,5,11,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\refinery.java,9
JavaRTS,entity,rocketTank,39,39,13,13,768,148,0,1,0.15384615384615385,6,9,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\rocketTank.java,11
JavaRTS,entity,solidObject,120,120,42,42,1211,318,19,0,0.2857142857142857,27,8,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\solidObject.java,6
JavaRTS,entity,stealthTank,39,39,13,13,968,193,0,1,0.0,7,10,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\stealthTank.java,8
JavaRTS,entity,techCenter,51,50,15,15,963,126,0,1,0.13333333333333333,9,10,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\techCenter.java,9
JavaRTS,entity,tokenObject,2,2,2,2,24,4,0,1,1.0,1,4,C:\Users\AVuser\Desktop\asdc\JavaRTS\entity\tokenObject.java,9
JavaRTS,gui,button,19,19,3,3,176,29,0,0,0.0,1,3,C:\Users\AVuser\Desktop\asdc\JavaRTS\gui\button.java,7
JavaRTS,gui,confirmationIcon,8,8,3,3,112,16,0,0,0.0,1,3,C:\Users\AVuser\Desktop\asdc\JavaRTS\gui\confirmationIcon.java,7
JavaRTS,gui,deployGrid,11,11,6,6,208,36,0,0,0.0,1,5,C:\Users\AVuser\Desktop\asdc\JavaRTS\gui\deployGrid.java,7
JavaRTS,gui,gameCursor,10,10,9,9,475,157,0,0,0.0,1,3,C:\Users\AVuser\Desktop\asdc\JavaRTS\gui\gameCursor.java,11
JavaRTS,gui,gameMenu,64,64,14,14,684,147,0,0,0.0,1,5,C:\Users\AVuser\Desktop\asdc\JavaRTS\gui\gameMenu.java,10
JavaRTS,gui,inputHandler,35,35,3,3,285,80,0,0,0.0,6,3,C:\Users\AVuser\Desktop\asdc\JavaRTS\gui\inputHandler.java,11
JavaRTS,gui,MiniMap,12,12,13,13,328,77,0,0,0.0,1,4,C:\Users\AVuser\Desktop\asdc\JavaRTS\gui\MiniMap.java,8
JavaRTS,gui,SideBar,13,13,13,13,552,104,0,0,0.0,1,2,C:\Users\AVuser\Desktop\asdc\JavaRTS\gui\SideBar.java,11
JavaRTS,gui,textRenderer,9,9,8,8,297,57,0,0,0.0,3,1,C:\Users\AVuser\Desktop\asdc\JavaRTS\gui\textRenderer.java,13
JavaRTS,(default package),main,0,0,1,1,5,1,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\asdc\JavaRTS\main.java,3
JavaRTS,particles,bullet,15,15,5,5,134,22,0,0,0.0,1,5,C:\Users\AVuser\Desktop\asdc\JavaRTS\particles\bullet.java,6
JavaRTS,particles,explosion,18,18,4,4,148,23,0,0,0.0,2,3,C:\Users\AVuser\Desktop\asdc\JavaRTS\particles\explosion.java,7
JavaRTS,particles,helix,14,14,3,3,121,20,0,0,0.0,1,5,C:\Users\AVuser\Desktop\asdc\JavaRTS\particles\helix.java,10
JavaRTS,particles,rocket,21,21,7,7,220,46,0,0,0.0,1,7,C:\Users\AVuser\Desktop\asdc\JavaRTS\particles\rocket.java,11
JavaRTS,particles,smokeParticle,13,13,3,3,177,45,0,0,0.0,1,3,C:\Users\AVuser\Desktop\asdc\JavaRTS\particles\smokeParticle.java,7
